"Online.boarding","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Inflight.entertainment","Leg.room.service","Checkin.service","On.board.service","Ease.of.Online.booking","satisfaction"
4,372,4,2,4,3,2,2,2,"satisfied"
5,106,5,2,5,3,3,3,2,"satisfied"
4,2841,5,5,4,2,4,5,5,"satisfied"
3,189,3,2,1,4,1,2,3,"neutral or dissatisfied"
4,3342,2,2,5,5,3,5,2,"satisfied"
3,1635,3,3,4,4,3,4,3,"neutral or dissatisfied"
4,967,1,1,3,4,4,3,1,"satisfied"
5,867,5,3,5,5,1,1,5,"satisfied"
5,1747,1,1,3,3,4,3,1,"satisfied"
1,610,1,1,1,1,4,3,1,"neutral or dissatisfied"
1,1810,1,5,4,4,4,4,1,"neutral or dissatisfied"
5,746,2,2,5,2,4,5,5,"satisfied"
1,926,1,1,2,5,4,3,1,"neutral or dissatisfied"
4,1005,3,5,4,3,4,4,3,"neutral or dissatisfied"
1,583,1,4,3,4,5,4,1,"neutral or dissatisfied"
1,83,1,3,5,5,2,4,1,"neutral or dissatisfied"
3,1773,3,1,3,3,3,3,1,"neutral or dissatisfied"
3,3240,1,5,1,1,1,1,5,"neutral or dissatisfied"
1,2697,5,5,5,5,3,5,5,"satisfied"
1,1846,4,2,4,3,3,4,2,"neutral or dissatisfied"
4,304,4,5,5,3,3,3,4,"neutral or dissatisfied"
3,214,3,4,3,3,1,1,5,"neutral or dissatisfied"
4,224,3,4,5,0,5,5,0,"neutral or dissatisfied"
5,3028,3,3,5,4,4,5,2,"satisfied"
1,1199,2,3,3,2,3,3,2,"neutral or dissatisfied"
4,594,4,0,5,4,3,3,4,"satisfied"
3,594,3,3,1,1,5,2,3,"neutral or dissatisfied"
5,3987,4,4,5,4,4,5,4,"satisfied"
4,3697,3,3,4,4,3,4,3,"satisfied"
3,997,3,3,2,3,4,3,3,"neutral or dissatisfied"
1,259,1,1,1,5,3,4,3,"neutral or dissatisfied"
4,236,2,2,4,4,5,4,2,"satisfied"
4,3184,2,2,5,4,3,5,2,"satisfied"
2,1620,2,4,3,4,5,3,2,"neutral or dissatisfied"
1,508,1,4,3,5,5,4,1,"neutral or dissatisfied"
5,667,3,2,4,4,4,4,3,"satisfied"
4,675,4,4,5,5,3,5,4,"satisfied"
2,3791,5,5,2,5,5,4,4,"satisfied"
4,145,4,4,4,3,5,2,4,"satisfied"
3,479,3,5,3,4,5,1,3,"neutral or dissatisfied"
5,2178,4,4,4,4,4,4,4,"satisfied"
2,371,3,3,4,4,1,4,3,"satisfied"
4,2644,4,4,4,4,4,4,5,"satisfied"
2,1074,3,3,1,5,2,4,3,"neutral or dissatisfied"
5,1734,0,4,5,5,3,5,0,"satisfied"
3,216,3,0,5,2,5,3,3,"neutral or dissatisfied"
1,788,1,1,1,4,1,2,1,"neutral or dissatisfied"
0,972,0,4,1,5,5,3,0,"satisfied"
5,2454,1,1,4,5,5,5,1,"satisfied"
4,277,4,1,4,1,1,5,1,"satisfied"
4,226,4,4,1,4,4,5,4,"satisfied"
5,2042,1,1,5,3,4,4,1,"satisfied"
4,758,3,3,4,5,5,5,3,"satisfied"
4,2379,1,1,1,1,1,1,1,"neutral or dissatisfied"
4,2565,4,5,1,2,4,3,3,"satisfied"
5,899,5,5,5,4,4,5,5,"satisfied"
5,2063,2,2,4,4,5,4,2,"satisfied"
5,3169,4,4,4,4,4,4,4,"satisfied"
2,667,2,5,4,5,4,4,2,"neutral or dissatisfied"
3,967,3,4,5,1,1,4,3,"neutral or dissatisfied"
2,296,2,5,4,4,4,5,2,"neutral or dissatisfied"
5,1960,2,2,5,5,5,5,5,"satisfied"
1,1363,1,3,1,2,2,2,3,"neutral or dissatisfied"
2,406,2,2,1,4,2,1,2,"neutral or dissatisfied"
1,346,1,3,1,3,1,2,3,"neutral or dissatisfied"
4,1076,4,3,4,3,4,4,3,"satisfied"
2,689,2,4,2,5,2,1,3,"neutral or dissatisfied"
4,1590,2,2,4,4,3,4,2,"satisfied"
3,315,1,5,1,1,3,1,5,"neutral or dissatisfied"
4,1721,4,4,3,4,2,5,4,"satisfied"
5,1597,4,4,3,3,5,3,4,"satisfied"
4,2860,2,2,5,5,4,5,2,"satisfied"
5,737,4,4,4,4,3,4,4,"satisfied"
3,867,2,2,2,2,4,2,2,"neutral or dissatisfied"
5,413,5,5,3,2,3,5,5,"satisfied"
3,925,3,3,1,2,4,3,3,"neutral or dissatisfied"
3,1197,3,4,4,3,4,5,3,"neutral or dissatisfied"
2,106,2,4,5,1,2,2,2,"neutral or dissatisfied"
2,936,2,3,3,1,4,1,2,"neutral or dissatisfied"
1,1744,2,5,3,4,5,5,1,"neutral or dissatisfied"
1,642,1,5,1,2,1,3,5,"neutral or dissatisfied"
4,486,1,5,5,1,1,5,1,"neutral or dissatisfied"
5,3076,1,1,5,5,5,4,1,"satisfied"
4,1008,4,4,2,3,3,3,4,"neutral or dissatisfied"
5,493,5,5,2,2,5,5,5,"satisfied"
5,3590,3,3,4,4,5,4,3,"satisfied"
3,872,3,0,5,4,5,3,3,"neutral or dissatisfied"
4,680,3,1,1,3,3,3,1,"satisfied"
4,2475,4,4,4,4,3,5,4,"satisfied"
4,2614,2,2,4,4,5,4,2,"satisfied"
5,997,4,5,5,4,4,5,4,"neutral or dissatisfied"
4,2530,4,4,4,5,3,3,4,"satisfied"
1,675,1,1,4,1,2,1,1,"neutral or dissatisfied"
4,1703,4,4,3,3,4,4,4,"neutral or dissatisfied"
3,1008,3,3,4,2,1,2,3,"neutral or dissatisfied"
2,932,2,2,4,5,1,2,2,"neutral or dissatisfied"
2,590,2,2,2,1,2,4,2,"neutral or dissatisfied"
4,436,5,5,2,2,5,2,5,"satisfied"
4,696,4,4,1,4,5,3,4,"satisfied"
4,597,4,5,4,2,4,1,5,"neutral or dissatisfied"
3,3904,4,0,5,3,4,4,4,"satisfied"
5,160,5,3,5,1,4,2,3,"satisfied"
3,3689,2,2,2,2,3,2,2,"neutral or dissatisfied"
2,228,2,3,2,2,2,1,3,"neutral or dissatisfied"
5,1045,4,4,4,5,4,4,4,"satisfied"
5,507,3,3,5,4,5,5,3,"satisfied"
4,3700,3,3,4,4,5,4,3,"satisfied"
3,308,3,3,5,2,4,1,3,"neutral or dissatisfied"
5,921,2,2,3,4,5,3,2,"satisfied"
4,453,2,2,5,5,4,5,2,"satisfied"
5,2979,2,2,3,5,5,2,2,"neutral or dissatisfied"
1,222,5,1,5,5,5,5,1,"satisfied"
4,2419,2,3,2,2,2,2,3,"neutral or dissatisfied"
4,175,5,3,4,4,5,4,5,"satisfied"
3,874,4,3,4,4,2,4,3,"neutral or dissatisfied"
4,792,1,1,1,1,2,1,1,"neutral or dissatisfied"
4,2464,2,2,2,2,3,2,2,"neutral or dissatisfied"
1,591,1,4,2,4,4,4,1,"neutral or dissatisfied"
3,486,2,2,5,2,3,5,2,"neutral or dissatisfied"
3,1448,3,5,3,2,1,3,3,"neutral or dissatisfied"
3,802,1,2,4,1,2,4,1,"neutral or dissatisfied"
4,646,3,3,4,4,4,4,3,"satisfied"
3,271,2,4,4,2,3,4,2,"neutral or dissatisfied"
4,1937,3,3,5,5,3,5,3,"satisfied"
3,2052,3,3,3,5,1,4,3,"neutral or dissatisfied"
5,679,2,2,5,3,3,3,2,"satisfied"
4,1798,4,4,5,5,5,5,1,"satisfied"
1,337,1,5,1,1,1,1,5,"neutral or dissatisfied"
4,569,3,3,4,4,5,4,3,"satisfied"
4,604,4,3,4,3,1,2,3,"satisfied"
2,1084,3,2,1,5,5,4,2,"neutral or dissatisfied"
4,569,4,4,4,5,5,3,4,"satisfied"
4,3298,5,5,4,4,3,4,5,"satisfied"
2,409,2,3,1,3,5,1,3,"neutral or dissatisfied"
1,349,1,4,5,2,3,3,1,"neutral or dissatisfied"
3,209,3,5,3,3,1,3,5,"neutral or dissatisfied"
4,3657,0,0,2,2,5,2,0,"satisfied"
5,2353,3,3,4,4,4,4,3,"satisfied"
3,312,2,4,2,2,1,2,4,"neutral or dissatisfied"
4,3697,1,1,5,5,4,5,1,"satisfied"
2,2191,3,5,3,4,1,1,5,"neutral or dissatisfied"
4,265,4,5,4,1,2,4,5,"satisfied"
4,483,4,3,4,1,4,2,3,"neutral or dissatisfied"
5,2801,1,1,4,4,4,4,1,"satisfied"
2,534,2,4,4,5,3,3,2,"neutral or dissatisfied"
2,258,3,2,2,3,4,2,2,"neutral or dissatisfied"
3,214,3,3,3,3,4,2,3,"neutral or dissatisfied"
3,1037,2,2,3,2,4,3,2,"neutral or dissatisfied"
4,177,4,3,4,4,4,4,3,"neutral or dissatisfied"
2,489,2,2,2,2,1,2,2,"neutral or dissatisfied"
4,733,4,4,4,4,3,4,4,"neutral or dissatisfied"
1,1242,1,4,5,2,5,5,1,"neutral or dissatisfied"
3,2125,3,2,3,3,2,1,2,"neutral or dissatisfied"
3,125,4,2,3,5,3,4,3,"neutral or dissatisfied"
5,135,5,5,5,5,5,5,5,"satisfied"
1,980,1,2,1,5,2,3,1,"neutral or dissatisfied"
1,304,1,4,1,2,2,4,4,"neutral or dissatisfied"
3,1068,3,3,3,3,4,3,2,"neutral or dissatisfied"
3,674,3,3,4,3,4,2,3,"neutral or dissatisfied"
2,255,2,5,2,5,5,4,2,"neutral or dissatisfied"
5,907,5,4,4,5,5,3,5,"satisfied"
0,250,0,5,2,5,4,2,0,"satisfied"
5,240,5,5,3,2,5,5,5,"satisfied"
3,990,3,5,4,5,4,4,3,"neutral or dissatisfied"
5,813,5,5,3,4,4,4,5,"satisfied"
3,359,4,4,3,4,3,3,4,"neutral or dissatisfied"
4,447,3,3,3,4,3,3,1,"satisfied"
3,1440,3,4,4,5,5,5,3,"neutral or dissatisfied"
5,2357,2,2,4,4,5,4,2,"satisfied"
3,954,4,4,5,5,3,5,3,"satisfied"
4,2248,1,1,4,4,4,3,1,"satisfied"
3,1937,4,5,4,4,3,4,5,"neutral or dissatisfied"
3,563,3,5,1,4,5,5,3,"neutral or dissatisfied"
3,2762,3,0,1,5,2,5,3,"neutral or dissatisfied"
2,781,2,3,5,3,5,4,2,"neutral or dissatisfied"
2,602,2,2,4,2,4,3,2,"neutral or dissatisfied"
4,2381,0,0,2,2,3,2,0,"satisfied"
5,237,5,5,3,5,3,3,5,"satisfied"
3,299,3,1,3,5,5,5,1,"satisfied"
5,584,5,5,5,2,4,5,5,"satisfied"
1,637,1,1,3,5,4,1,1,"neutral or dissatisfied"
5,544,3,1,4,4,4,4,3,"satisfied"
5,2402,1,4,2,1,1,2,1,"neutral or dissatisfied"
5,1452,5,3,5,1,3,4,5,"satisfied"
3,948,3,1,5,5,5,3,3,"neutral or dissatisfied"
5,853,4,1,5,1,4,4,4,"satisfied"
1,448,1,5,4,3,1,5,5,"neutral or dissatisfied"
4,2565,2,1,4,4,5,4,2,"satisfied"
4,3694,2,2,4,3,2,1,3,"satisfied"
2,612,2,0,4,3,5,5,2,"neutral or dissatisfied"
3,3590,1,3,1,1,1,1,2,"neutral or dissatisfied"
4,866,3,4,1,2,5,3,4,"neutral or dissatisfied"
4,3369,4,4,4,4,5,4,5,"satisfied"
1,199,1,0,2,5,3,4,1,"neutral or dissatisfied"
4,1747,4,1,2,4,4,2,4,"neutral or dissatisfied"
4,3967,3,3,5,5,4,5,3,"satisfied"
5,238,4,4,5,5,5,5,4,"satisfied"
2,1576,2,1,2,5,2,3,1,"neutral or dissatisfied"
4,516,4,5,4,2,3,4,5,"satisfied"
5,1199,5,5,4,4,3,4,5,"satisfied"
2,589,2,5,3,2,3,3,2,"neutral or dissatisfied"
2,1165,3,3,3,2,3,4,2,"neutral or dissatisfied"
1,1192,1,4,3,4,5,4,1,"neutral or dissatisfied"
0,130,3,1,2,1,3,3,0,"neutral or dissatisfied"
4,1802,1,1,4,4,5,5,1,"satisfied"
4,273,3,3,5,5,3,5,2,"satisfied"
1,528,1,4,2,4,2,1,1,"neutral or dissatisfied"
5,1729,5,5,4,4,4,4,5,"satisfied"
3,991,3,3,3,2,2,4,3,"neutral or dissatisfied"
5,302,5,4,5,5,1,5,4,"satisfied"
4,641,4,5,2,3,4,3,4,"neutral or dissatisfied"
3,451,2,4,4,1,5,2,3,"neutral or dissatisfied"
4,843,4,4,5,5,3,4,4,"satisfied"
5,403,4,1,4,4,3,4,1,"satisfied"
3,547,2,4,3,2,4,3,2,"neutral or dissatisfied"
3,569,4,5,5,3,5,4,3,"neutral or dissatisfied"
5,1437,2,2,5,5,3,5,2,"satisfied"
1,927,1,4,1,5,1,3,4,"neutral or dissatisfied"
3,109,3,4,3,1,2,5,3,"neutral or dissatisfied"
2,787,2,4,3,3,5,3,2,"neutral or dissatisfied"
2,522,2,3,2,1,2,3,3,"neutral or dissatisfied"
3,3615,2,2,2,2,4,2,2,"neutral or dissatisfied"
4,369,5,5,2,2,3,2,4,"satisfied"
3,868,3,3,5,3,5,5,3,"neutral or dissatisfied"
5,391,5,1,4,2,1,4,1,"satisfied"
2,944,2,5,2,3,2,4,5,"neutral or dissatisfied"
1,926,1,1,4,3,2,2,1,"neutral or dissatisfied"
3,594,2,3,2,2,4,3,3,"neutral or dissatisfied"
2,223,2,2,4,2,2,1,2,"neutral or dissatisfied"
3,421,2,2,2,2,1,2,2,"neutral or dissatisfied"
5,3639,2,2,4,4,5,4,2,"satisfied"
3,834,4,5,5,3,5,3,3,"neutral or dissatisfied"
3,2729,1,3,1,1,4,1,3,"neutral or dissatisfied"
4,1192,3,3,4,3,3,4,4,"neutral or dissatisfied"
5,3148,5,5,4,4,3,4,5,"satisfied"
4,978,4,5,3,4,4,4,4,"neutral or dissatisfied"
1,1055,1,4,1,1,2,1,1,"neutral or dissatisfied"
4,1947,4,2,1,4,4,1,4,"neutral or dissatisfied"
3,3636,4,3,4,4,2,4,3,"neutral or dissatisfied"
4,3476,3,3,5,5,4,5,3,"satisfied"
5,672,1,1,5,5,4,5,1,"satisfied"
5,987,5,2,5,1,1,1,5,"satisfied"
1,746,1,2,1,1,2,2,2,"neutral or dissatisfied"
3,1076,2,3,1,3,3,5,3,"satisfied"
4,2916,1,1,4,5,4,4,5,"satisfied"
1,196,1,2,1,5,1,2,2,"neutral or dissatisfied"
1,787,1,3,5,1,5,2,1,"neutral or dissatisfied"
2,446,2,2,2,3,2,3,2,"neutral or dissatisfied"
3,641,3,5,3,4,3,4,3,"neutral or dissatisfied"
5,646,5,5,5,5,5,5,5,"satisfied"
0,200,3,4,4,4,5,4,0,"neutral or dissatisfied"
4,749,4,4,2,3,5,3,4,"satisfied"
4,2007,1,4,5,1,3,5,1,"neutral or dissatisfied"
2,2075,4,2,4,4,4,4,4,"neutral or dissatisfied"
0,419,2,1,2,3,3,1,0,"neutral or dissatisfied"
5,1846,2,2,2,2,3,2,2,"satisfied"
3,507,3,4,2,3,3,4,3,"neutral or dissatisfied"
4,2588,1,3,2,1,1,2,1,"neutral or dissatisfied"
4,1846,3,4,5,2,4,5,2,"neutral or dissatisfied"
4,528,4,5,1,2,4,3,4,"neutral or dissatisfied"
1,391,1,1,5,5,3,4,1,"neutral or dissatisfied"
4,67,4,0,5,5,3,4,4,"neutral or dissatisfied"
5,341,2,2,4,4,5,4,2,"satisfied"
4,544,5,1,3,3,5,3,5,"satisfied"
5,359,2,5,4,2,4,4,2,"neutral or dissatisfied"
4,837,3,4,2,4,3,2,4,"neutral or dissatisfied"
2,951,2,3,4,3,4,2,2,"neutral or dissatisfied"
5,496,5,4,5,4,4,3,5,"satisfied"
1,201,1,5,5,3,4,4,1,"neutral or dissatisfied"
4,728,4,1,4,3,3,4,4,"neutral or dissatisfied"
2,287,2,4,4,3,4,4,2,"neutral or dissatisfied"
4,306,5,5,5,5,3,5,5,"satisfied"
4,106,3,5,3,3,5,3,3,"neutral or dissatisfied"
3,395,3,2,3,3,1,3,2,"neutral or dissatisfied"
5,631,5,5,5,5,5,5,5,"satisfied"
2,879,2,5,2,2,1,4,5,"neutral or dissatisfied"
4,3659,4,4,4,4,3,3,4,"satisfied"
1,546,2,3,5,2,4,5,2,"neutral or dissatisfied"
4,356,4,2,4,2,2,4,1,"satisfied"
5,164,5,3,5,1,2,2,3,"satisfied"
3,954,3,3,3,3,4,3,4,"neutral or dissatisfied"
4,1431,4,4,4,5,4,1,4,"neutral or dissatisfied"
2,936,2,5,5,5,4,3,2,"neutral or dissatisfied"
2,589,2,4,2,5,5,1,2,"neutral or dissatisfied"
4,1590,4,1,4,5,4,3,1,"neutral or dissatisfied"
5,680,2,2,2,5,5,4,2,"satisfied"
2,651,1,1,4,1,3,1,2,"neutral or dissatisfied"
3,481,3,5,3,2,5,5,3,"neutral or dissatisfied"
5,1065,1,1,5,3,4,5,5,"satisfied"
3,444,3,3,2,4,5,4,3,"neutral or dissatisfied"
3,2585,3,3,3,4,3,3,3,"neutral or dissatisfied"
3,1235,3,5,3,3,2,5,3,"neutral or dissatisfied"
2,2521,4,3,3,2,2,5,4,"satisfied"
4,304,4,0,5,2,3,4,4,"neutral or dissatisfied"
2,589,2,1,2,4,2,2,1,"neutral or dissatisfied"
2,646,2,3,4,4,3,5,3,"neutral or dissatisfied"
4,570,4,1,5,4,1,4,4,"neutral or dissatisfied"
2,83,2,2,4,4,1,4,3,"satisfied"
4,895,4,5,2,4,4,2,4,"satisfied"
2,546,2,2,2,1,3,3,2,"neutral or dissatisfied"
4,423,3,3,2,2,5,2,3,"satisfied"
5,292,2,2,5,4,1,5,2,"satisfied"
5,2000,3,3,2,2,5,2,1,"satisfied"
5,2134,2,2,4,4,3,4,2,"satisfied"
1,1476,4,4,4,4,5,4,4,"satisfied"
2,1056,2,4,2,5,5,4,2,"neutral or dissatisfied"
3,163,3,5,4,2,4,4,3,"neutral or dissatisfied"
3,479,2,3,3,3,2,2,3,"neutral or dissatisfied"
5,3498,2,2,4,4,4,4,2,"satisfied"
3,328,3,0,4,2,5,4,3,"neutral or dissatisfied"
1,848,1,1,2,2,4,2,1,"neutral or dissatisfied"
4,2446,2,2,4,5,2,3,2,"satisfied"
5,1076,2,5,2,1,5,2,1,"neutral or dissatisfied"
4,3254,5,5,4,4,3,4,1,"satisfied"
2,2556,2,1,4,2,2,5,5,"neutral or dissatisfied"
1,277,1,1,3,1,1,4,1,"neutral or dissatisfied"
5,309,5,4,1,5,3,1,5,"satisfied"
1,1999,1,5,5,5,3,5,1,"neutral or dissatisfied"
3,1237,3,4,1,4,3,5,3,"neutral or dissatisfied"
3,406,3,4,5,5,5,4,3,"neutral or dissatisfied"
3,1044,3,3,4,5,1,4,3,"neutral or dissatisfied"
5,1782,2,2,4,5,5,4,2,"satisfied"
1,277,1,0,4,2,1,4,1,"neutral or dissatisfied"
5,240,5,0,1,3,4,5,5,"satisfied"
0,134,4,5,1,4,5,4,0,"neutral or dissatisfied"
3,405,2,5,4,3,3,3,3,"neutral or dissatisfied"
4,438,4,1,4,5,5,5,1,"satisfied"
3,1448,3,5,3,3,3,3,5,"neutral or dissatisfied"
2,1090,2,5,2,3,4,2,5,"neutral or dissatisfied"
1,164,3,1,1,3,3,1,3,"neutral or dissatisfied"
0,749,1,4,2,2,5,4,0,"neutral or dissatisfied"
2,272,2,0,3,1,3,4,2,"neutral or dissatisfied"
4,2128,4,4,4,4,3,4,4,"satisfied"
4,2295,3,5,3,3,3,3,5,"neutral or dissatisfied"
3,1797,4,4,2,4,4,2,4,"neutral or dissatisfied"
2,3778,2,2,2,5,4,4,2,"neutral or dissatisfied"
3,1188,3,4,4,4,4,1,1,"neutral or dissatisfied"
5,2390,2,2,5,5,3,5,2,"satisfied"
5,2658,4,4,4,4,4,4,4,"satisfied"
3,1506,3,5,3,3,2,3,5,"neutral or dissatisfied"
2,1092,2,1,2,1,1,3,2,"neutral or dissatisfied"
4,862,1,4,2,1,4,2,1,"neutral or dissatisfied"
1,557,1,5,3,2,4,5,1,"neutral or dissatisfied"
2,1521,2,2,4,2,3,3,2,"neutral or dissatisfied"
4,331,4,4,2,2,4,5,4,"neutral or dissatisfied"
3,373,3,1,4,1,4,4,3,"neutral or dissatisfied"
5,2327,4,4,5,5,5,5,4,"satisfied"
3,592,3,5,5,1,3,5,3,"neutral or dissatisfied"
2,641,3,4,1,3,3,4,4,"neutral or dissatisfied"
2,813,2,2,5,3,1,1,2,"neutral or dissatisfied"
2,920,2,4,2,2,3,2,4,"neutral or dissatisfied"
5,758,5,5,4,4,4,4,5,"satisfied"
2,1996,3,3,5,5,2,5,3,"satisfied"
1,1299,1,4,2,4,3,3,1,"neutral or dissatisfied"
2,522,2,2,5,5,5,5,2,"satisfied"
1,2556,1,2,1,4,1,5,2,"neutral or dissatisfied"
5,488,4,4,4,5,3,4,4,"satisfied"
1,306,0,0,1,1,1,1,0,"satisfied"
4,1452,1,0,3,0,2,3,0,"neutral or dissatisfied"
1,862,1,4,4,5,3,4,1,"neutral or dissatisfied"
4,2503,4,4,5,5,4,5,2,"satisfied"
4,3979,2,2,5,5,3,5,2,"satisfied"
4,1107,1,0,5,0,4,5,0,"neutral or dissatisfied"
3,972,2,2,4,2,3,4,2,"neutral or dissatisfied"
3,1197,3,5,2,3,1,1,3,"neutral or dissatisfied"
2,1546,2,2,3,3,3,3,2,"neutral or dissatisfied"
4,129,4,5,2,3,5,1,4,"satisfied"
4,3240,3,3,3,4,3,3,3,"satisfied"
4,409,1,5,4,3,5,3,1,"satisfied"
3,67,3,3,3,3,5,5,3,"neutral or dissatisfied"
2,853,2,4,4,4,5,3,2,"neutral or dissatisfied"
4,3829,5,3,4,4,3,4,5,"satisfied"
2,495,2,5,5,4,3,3,2,"neutral or dissatisfied"
3,3795,1,0,4,0,3,4,0,"neutral or dissatisfied"
2,448,2,1,5,4,3,2,2,"neutral or dissatisfied"
5,695,2,4,2,2,5,2,2,"neutral or dissatisfied"
2,861,2,5,5,2,4,5,2,"neutral or dissatisfied"
5,621,4,4,4,4,3,4,4,"neutral or dissatisfied"
2,237,2,5,1,4,3,4,2,"neutral or dissatisfied"
3,1123,3,3,4,3,3,2,3,"neutral or dissatisfied"
4,2246,3,3,4,3,3,3,3,"satisfied"
4,1813,3,3,4,4,5,4,3,"satisfied"
2,1066,2,4,4,3,3,5,2,"neutral or dissatisfied"
4,550,4,4,5,3,3,2,4,"neutral or dissatisfied"
5,666,2,2,4,4,4,4,2,"satisfied"
4,297,4,2,4,3,2,1,3,"satisfied"
5,403,5,3,1,1,5,3,3,"satisfied"
5,2845,4,4,5,5,3,5,4,"satisfied"
1,227,2,5,3,4,1,3,2,"neutral or dissatisfied"
2,296,2,5,3,2,4,3,2,"neutral or dissatisfied"
3,369,3,1,4,5,1,2,3,"neutral or dissatisfied"
2,1249,2,1,2,5,3,2,1,"neutral or dissatisfied"
5,280,5,5,5,5,4,4,5,"satisfied"
4,738,4,4,5,5,3,5,4,"satisfied"
1,2300,5,5,4,4,4,4,5,"satisfied"
5,1903,4,5,5,2,5,5,4,"satisfied"
4,399,4,4,1,4,5,1,4,"neutral or dissatisfied"
3,404,3,2,3,1,1,1,3,"neutral or dissatisfied"
3,733,3,5,1,4,4,4,3,"neutral or dissatisfied"
4,238,4,3,4,2,5,3,3,"satisfied"
2,587,2,1,2,1,4,1,1,"neutral or dissatisfied"
5,2475,5,5,4,4,5,4,5,"satisfied"
1,359,1,1,5,2,1,4,1,"neutral or dissatisfied"
3,333,4,2,5,3,4,3,3,"satisfied"
4,255,2,2,4,0,1,4,0,"neutral or dissatisfied"
4,109,4,3,5,5,3,4,3,"satisfied"
4,3264,0,0,4,4,5,4,0,"satisfied"
3,236,5,2,5,5,3,5,2,"satisfied"
3,240,3,3,5,1,3,4,3,"neutral or dissatisfied"
3,328,3,3,2,2,3,1,3,"neutral or dissatisfied"
3,1744,2,2,4,4,3,4,2,"satisfied"
4,280,4,5,5,5,3,5,4,"satisfied"
3,2277,3,3,2,4,3,3,3,"neutral or dissatisfied"
4,1481,1,4,5,1,4,5,1,"neutral or dissatisfied"
4,680,3,5,4,3,3,4,3,"neutral or dissatisfied"
4,1629,3,5,2,2,2,2,5,"neutral or dissatisfied"
3,368,3,5,2,2,1,3,3,"neutral or dissatisfied"
4,328,4,4,3,4,3,5,4,"satisfied"
3,678,3,1,3,4,4,1,1,"neutral or dissatisfied"
2,429,2,2,2,2,2,2,2,"neutral or dissatisfied"
5,1892,5,5,4,4,5,4,5,"satisfied"
5,1732,5,5,5,5,3,5,5,"satisfied"
2,306,2,2,1,4,5,5,2,"neutral or dissatisfied"
3,1744,3,5,2,5,3,2,3,"satisfied"
4,1416,4,1,4,1,4,1,1,"satisfied"
2,468,2,4,5,1,1,1,2,"neutral or dissatisfied"
4,1899,3,5,3,3,3,3,5,"neutral or dissatisfied"
4,1416,4,2,5,4,2,3,2,"satisfied"
2,679,2,4,1,2,3,5,2,"neutral or dissatisfied"
3,1609,1,1,1,1,1,1,1,"neutral or dissatisfied"
4,236,4,3,2,5,4,5,4,"neutral or dissatisfied"
3,265,2,2,3,3,3,1,2,"neutral or dissatisfied"
4,1276,4,3,5,2,1,5,4,"neutral or dissatisfied"
4,1985,4,4,5,5,3,5,4,"satisfied"
2,954,2,2,3,4,2,1,2,"neutral or dissatisfied"
5,214,5,5,4,4,4,4,5,"satisfied"
4,1208,4,1,1,5,2,1,4,"neutral or dissatisfied"
4,2586,4,5,3,4,4,3,4,"satisfied"
3,369,3,3,1,4,3,3,3,"neutral or dissatisfied"
4,1703,1,1,4,5,1,1,1,"satisfied"
2,177,2,4,2,4,4,5,2,"neutral or dissatisfied"
4,3614,4,4,5,5,5,5,4,"satisfied"
4,946,3,3,4,5,4,4,3,"satisfied"
3,488,3,2,5,5,2,3,3,"neutral or dissatisfied"
3,346,3,2,5,3,1,5,3,"neutral or dissatisfied"
4,134,5,5,4,4,4,4,5,"satisfied"
4,2329,3,3,4,5,4,4,3,"satisfied"
5,3423,1,1,4,4,3,4,2,"satisfied"
3,1047,3,3,4,4,3,3,3,"neutral or dissatisfied"
2,565,2,5,4,3,3,4,2,"neutral or dissatisfied"
5,3610,5,5,5,5,5,5,5,"satisfied"
4,1035,2,2,5,5,5,5,2,"satisfied"
1,644,2,4,5,3,4,4,1,"neutral or dissatisfied"
3,496,3,5,2,2,3,2,3,"neutral or dissatisfied"
4,802,1,1,4,4,4,4,1,"satisfied"
3,3130,3,5,3,1,3,1,5,"neutral or dissatisfied"
4,501,4,4,3,4,3,5,4,"satisfied"
1,342,1,4,2,5,4,2,1,"neutral or dissatisfied"
5,604,5,5,3,3,3,3,5,"satisfied"
4,156,4,0,5,5,3,4,4,"neutral or dissatisfied"
2,282,2,4,5,1,4,4,2,"neutral or dissatisfied"
1,304,1,0,3,1,2,3,1,"neutral or dissatisfied"
3,834,3,5,4,3,5,4,3,"neutral or dissatisfied"
0,190,1,4,5,4,4,1,0,"neutral or dissatisfied"
2,451,2,5,2,5,2,3,2,"neutral or dissatisfied"
4,3972,0,4,5,5,4,5,0,"satisfied"
2,1594,4,4,5,5,2,5,4,"satisfied"
4,237,4,1,4,2,3,3,5,"satisfied"
5,447,5,5,4,3,3,4,5,"satisfied"
1,1546,1,5,5,3,5,3,1,"neutral or dissatisfied"
1,114,2,4,2,5,1,1,2,"neutral or dissatisfied"
2,1733,2,3,3,5,3,3,3,"neutral or dissatisfied"
3,777,3,3,4,5,3,2,3,"neutral or dissatisfied"
5,1979,5,5,4,4,3,4,5,"satisfied"
3,1723,3,3,2,2,3,4,5,"neutral or dissatisfied"
3,1587,0,2,4,0,4,4,0,"satisfied"
2,376,2,2,2,2,3,1,2,"neutral or dissatisfied"
2,3697,4,4,4,4,3,4,4,"satisfied"
5,188,3,5,5,3,3,5,3,"neutral or dissatisfied"
5,644,3,3,5,5,3,5,3,"satisfied"
3,1005,3,4,3,2,4,5,3,"neutral or dissatisfied"
